"","floorspace","num_whole_rooms","num_half_rooms","price","num_rooms"
"265","43","2","0",34.4,2
"266","62","2","0",39,2
"267","96","3","0",89,3
"268","51","1","0",39.5,1
"269","55","2","0",51.5,2
"270","94","3","1",56,3.5
"271","138","6","0",137.9,6
"272","63","2","0",51.9,2
"273","75","2","0",69.9,2
"274","51","2","0",57,2
"275","91","3","0",79.9,3
"276","64","2","0",43,2
"277","66","3","0",57.5,3
"278","149","4","0",140,4
"279","50","1","1",42.5,1.5
"280","64","2","1",54,2.5
"281","44","2","0",48.5,2
"282","88","4","0",65,4
"283","101","4","0",77,4
"284","48","2","0",54.9,2
"285","46","1","1",27.5,1.5
"286","41","2","0",38,2
"287","63","2","1",62,2.5
"288","60","2","0",41.9,2
"289","44","1","1",34.5,1.5
"290","41","1","1",26.5,1.5
"291","68","3","0",41.9,3
"292","54","2","0",40,2
"293","42","1","1",34.2,1.5
"294","92","2","2",55,3
"295","103","2","2",67.5,3
"296","95","4","0",68,4
"297","66","1","2",32,2
"298","86","4","0",69.5,4
"299","64","2","0",53,2
"300","46","2","0",25.9,2
"301","66","3","0",49.9,3
"302","52","2","1",38.4,2.5
"303","75","3","0",48.9,3
"304","61","3","0",60.8,3
"305","51","2","0",33.9,2
"306","46","1","1",24,1.5
"307","61","2","0",45,2
"308","62","2","0",45,2
"309","46","1","1",27.2,1.5
"310","30","1","0",32.9,1
"311","63","3","0",35.9,3
"312","82","3","0",63,3
"313","45","1","1",29.9,1.5
"314","42","1","0",28.8,1
"315","72","3","0",68.8,3
"316","28","1","0",29.9,1
"317","34","1","0",23.9,1
"318","51","2","0",33.9,2
"319","33","1","0",24,1
"320","61","3","0",52.9,3
"321","47","2","0",30.9,2
"322","64","2","1",53,2.5
"323","63","3","0",35.9,3
"324","33","1","0",22.5,1
"325","38","1","0",23.9,1
"326","135","3","2",59.9,4
"327","59","2","1",55.9,2.5
"328","57","2","1",37.9,2.5
"329","33","1","0",25.9,1
"330","72","2","1",38.9,2.5
"331","77","3","0",41.9,3
"332","46","1","1",22.7,1.5
"333","135","5","1",59.9,5.5
"334","67","2","0",42.9,2
"335","65","2","1",48.9,2.5
"336","46","2","0",42.9,2
"337","58","2","0",48.8,2
"338","35","1","0",35.9,1
"339","62","2","1",32.5,2.5
"340","72","4","0",26.9,4
"341","100","4","0",59.9,4
"342","42","2","0",25.5,2
"343","79","4","0",67.1,4
"344","46","2","0",29.9,2
"345","45","2","0",34.9,2
"346","63","1","2",54,2
"347","59","2","0",55.9,2
"348","46","1","1",29,1.5
"349","108","5","0",83.9,5
"350","69","3","0",44.9,3
"351","46","1","1",28.9,1.5
"352","52","1","1",26.9,1.5
"353","33","1","0",26.5,1
"354","42","1","0",24.5,1
"355","54","1","0",42,1
"356","36","1","0",28.9,1
"357","46","1","1",24.9,1.5
"358","64","2","0",43,2
"359","50","2","0",47.9,2
"360","57","2","0",48.8,2
"361","57","2","0",34.2,2
"362","71","2","0",41.9,2
"363","70","3","0",38.9,3
"364","29","1","0",20.9,1
"365","46","1","1",26.9,1.5
"366","52","2","0",28.9,2
"367","54","2","0",39.9,2
"368","68","3","0",39.9,3
"369","123","3","1",68.8,3.5
"370","57","3","0",52,3
"371","55","2","1",39.7,2.5
"372","52","2","0",31.9,2
"373","24","1","0",20.5,1
"374","52","1","1",31.9,1.5
